V1,V2,V3,V4,V5,V6,V7,V8,V9
145,152,159,166,173,180,187,NA,NA
145,152,159,166,173,180,187,NA,NA
145,152,159,166,173,180,187,NA,NA
145,152,159,166,173,180,187,NA,NA
145,152,159,166,173,180,187,NA,NA
145,152,159,166,173,180,187,NA,NA
NA,152,159,166,173,180,187,NA,NA
145,152,159,166,173,180,187,NA,NA
145,152,159,166,173,180,187,NA,NA
145,152,159,166,173,180,187,NA,NA
146,152,159,166,173,180,187,NA,NA
146,152,159,161,173,180,187,NA,NA
146,151,159,166,173,180,187,NA,NA
146,152,159,166,173,180,187,NA,NA
146,152,159,166,173,180,187,NA,NA
146,152,159,166,173,180,187,NA,NA
148,152,159,166,173,180,187,NA,NA
148,152,159,166,173,180,187,NA,NA
148,152,159,166,173,180,187,NA,NA
148,152,159,166,173,180,187,NA,NA
145,152,159,166,173,180,187,NA,NA
145,152,159,166,173,180,187,NA,NA
NA,152,159,166,173,180,187,NA,NA
NA,155,159,166,173,180,187,NA,NA
NA,154,159,166,173,180,187,NA,NA
NA,154,159,166,173,180,187,NA,NA
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,157,165,172,179,186,NA,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200
144,151,158,165,172,179,186,193,200